id,name,key,new_name,new_key
2d4b5ef0-cbf8-4053-88fc-ed3855aa53fc,Time Out.mp3,medeo/resource/music/pixabay-bgm/Time Out.mp3,Time Out,medeo/resource/music/pixabay-bgm/2d4b5ef0-cbf8-4053-88fc-ed3855aa53fc.mp3
cafce290-b45d-482f-9331-42e6488374ca,Chillout 74.mp3,medeo/resource/music/pixabay-bgm/Chillout 74.mp3,Chillout 74,medeo/resource/music/pixabay-bgm/cafce290-b45d-482f-9331-42e6488374ca.mp3
d8fc53a6-d949-4685-af2b-d0357d65a3dd,DayDreamz Instrumental.mp3,medeo/resource/music/pixabay-bgm/DayDreamz Instrumental.mp3,DayDreamz Instrumental,medeo/resource/music/pixabay-bgm/d8fc53a6-d949-4685-af2b-d0357d65a3dd.mp3
8f403e4e-8845-465f-85b7-41f31159431a,Move The Body.mp3,medeo/resource/music/pixabay-bgm/Move The Body.mp3,Move The Body,medeo/resource/music/pixabay-bgm/8f403e4e-8845-465f-85b7-41f31159431a.mp3
132a2b11-e9d2-4274-ad12-afd0f88b393d,Centyś - Energy 2.mp3,medeo/resource/music/pixabay-bgm/Centyś - Energy 2.mp3,Centyś - Energy 2,medeo/resource/music/pixabay-bgm/132a2b11-e9d2-4274-ad12-afd0f88b393d.mp3
ea006545-7afb-4d39-a4ba-8afc15d4a323,Sun Salutation Meditation.mp3,medeo/resource/music/pixabay-bgm/Sun Salutation Meditation.mp3,Sun Salutation Meditation,medeo/resource/music/pixabay-bgm/ea006545-7afb-4d39-a4ba-8afc15d4a323.mp3
21bcb4a5-9f6b-4161-be1c-b0ecaf890c00,Fun Upbeat Happy.mp3,medeo/resource/music/pixabay-bgm/Fun Upbeat Happy.mp3,Fun Upbeat Happy,medeo/resource/music/pixabay-bgm/21bcb4a5-9f6b-4161-be1c-b0ecaf890c00.mp3
468457c4-6a2b-4475-a339-4301bb381f3c,Chillout 101.mp3,medeo/resource/music/pixabay-bgm/Chillout 101.mp3,Chillout 101,medeo/resource/music/pixabay-bgm/468457c4-6a2b-4475-a339-4301bb381f3c.mp3
c8385a3b-fd4d-4c6f-9f30-08153c81760b,nightmoves.mp3,medeo/resource/music/pixabay-bgm/nightmoves.mp3,nightmoves,medeo/resource/music/pixabay-bgm/c8385a3b-fd4d-4c6f-9f30-08153c81760b.mp3
754baca4-5978-4ae1-aec2-22eec6c32193,Intergalactic Reggae.mp3,medeo/resource/music/pixabay-bgm/Intergalactic Reggae.mp3,Intergalactic Reggae,medeo/resource/music/pixabay-bgm/754baca4-5978-4ae1-aec2-22eec6c32193.mp3
281d7659-2d26-4eef-a912-a0af5439afa4,Moray Haar Intro Outro.mp3,medeo/resource/music/pixabay-bgm/Moray Haar Intro Outro.mp3,Moray Haar Intro Outro,medeo/resource/music/pixabay-bgm/281d7659-2d26-4eef-a912-a0af5439afa4.mp3
7507bbe2-5147-4dc9-9c3b-9f311e3f329f,Lala Bass.mp3,medeo/resource/music/pixabay-bgm/Lala Bass.mp3,Lala Bass,medeo/resource/music/pixabay-bgm/7507bbe2-5147-4dc9-9c3b-9f311e3f329f.mp3
4b49899d-65cf-4ba4-a0be-cf028ab78e67,Accused.mp3,medeo/resource/music/pixabay-bgm/Accused.mp3,Accused,medeo/resource/music/pixabay-bgm/4b49899d-65cf-4ba4-a0be-cf028ab78e67.mp3
8741d907-db39-4c48-9f67-46a5a654570c,My Way Home - Guitar Country Ballad.mp3,medeo/resource/music/pixabay-bgm/My Way Home - Guitar Country Ballad.mp3,My Way Home - Guitar Country Ballad,medeo/resource/music/pixabay-bgm/8741d907-db39-4c48-9f67-46a5a654570c.mp3
a8f48e66-a62e-4390-a069-3711b3e7c8e6,2222.mp3,medeo/resource/music/pixabay-bgm/2222.mp3,2222,medeo/resource/music/pixabay-bgm/a8f48e66-a62e-4390-a069-3711b3e7c8e6.mp3
ec046472-9000-4d59-a84a-98b08f680c93,Fireside Meditation.mp3,medeo/resource/music/pixabay-bgm/Fireside Meditation.mp3,Fireside Meditation,medeo/resource/music/pixabay-bgm/ec046472-9000-4d59-a84a-98b08f680c93.mp3
1838e42a-e1e9-44be-9047-f2672d56033c,New York Tour.mp3,medeo/resource/music/pixabay-bgm/New York Tour.mp3,New York Tour,medeo/resource/music/pixabay-bgm/1838e42a-e1e9-44be-9047-f2672d56033c.mp3
99bfbb18-4d7d-4f73-a7fd-a28c60ae7bb6,Uncompromising by Nadia Cripps.mp3,medeo/resource/music/pixabay-bgm/Uncompromising by Nadia Cripps.mp3,Uncompromising by Nadia Cripps,medeo/resource/music/pixabay-bgm/99bfbb18-4d7d-4f73-a7fd-a28c60ae7bb6.mp3
ed5a6190-188d-40d2-971d-30877ae673f2,ArTCh-I kick your ass.mp3,medeo/resource/music/pixabay-bgm/ArTCh-I kick your ass.mp3,ArTCh-I kick your ass,medeo/resource/music/pixabay-bgm/ed5a6190-188d-40d2-971d-30877ae673f2.mp3
262b43d2-f650-4942-814a-2a431ae926c2,Moonlight (Mastered).mp3,medeo/resource/music/pixabay-bgm/Moonlight (Mastered).mp3,Moonlight (Mastered),medeo/resource/music/pixabay-bgm/262b43d2-f650-4942-814a-2a431ae926c2.mp3
b449793e-e6bd-47d2-aa03-80e67975972d,Female voice and electronica 2.mp3,medeo/resource/music/pixabay-bgm/Female voice and electronica 2.mp3,Female voice and electronica 2,medeo/resource/music/pixabay-bgm/b449793e-e6bd-47d2-aa03-80e67975972d.mp3
987abe9b-5635-47f5-8b0a-f5c7796575f7,Vytality DJ - Time Trial.mp3,medeo/resource/music/pixabay-bgm/Vytality DJ - Time Trial.mp3,Vytality DJ - Time Trial,medeo/resource/music/pixabay-bgm/987abe9b-5635-47f5-8b0a-f5c7796575f7.mp3
5aba8c58-9e01-461b-b429-c79a2e2e80c3,Geovane Bruno - Dancing In The Future.mp3,medeo/resource/music/pixabay-bgm/Geovane Bruno - Dancing In The Future.mp3,Geovane Bruno - Dancing In The Future,medeo/resource/music/pixabay-bgm/5aba8c58-9e01-461b-b429-c79a2e2e80c3.mp3
e287546c-aa4f-4424-92e1-08e3af4c9db4,Geovane Bruno - That Journey.mp3,medeo/resource/music/pixabay-bgm/Geovane Bruno - That Journey.mp3,Geovane Bruno - That Journey,medeo/resource/music/pixabay-bgm/e287546c-aa4f-4424-92e1-08e3af4c9db4.mp3
64b658e0-b1e0-4899-af2a-3e4f758f333b,Trance 2009 (EDM).mp3,medeo/resource/music/pixabay-bgm/Trance 2009 (EDM).mp3,Trance 2009 (EDM),medeo/resource/music/pixabay-bgm/64b658e0-b1e0-4899-af2a-3e4f758f333b.mp3
e830ced7-d1ce-4a46-9b28-b68c82087f51,Geovane Bruno - My Dream.mp3,medeo/resource/music/pixabay-bgm/Geovane Bruno - My Dream.mp3,Geovane Bruno - My Dream,medeo/resource/music/pixabay-bgm/e830ced7-d1ce-4a46-9b28-b68c82087f51.mp3
912006ed-60f2-4254-af6c-7283aea552ba,Upbeat Uplifting Commercial.mp3,medeo/resource/music/pixabay-bgm/Upbeat Uplifting Commercial.mp3,Upbeat Uplifting Commercial,medeo/resource/music/pixabay-bgm/912006ed-60f2-4254-af6c-7283aea552ba.mp3
0ba4d164-ca66-4cbf-aed7-b3681a9ace5a,Silky Dreams.mp3,medeo/resource/music/pixabay-bgm/Silky Dreams.mp3,Silky Dreams,medeo/resource/music/pixabay-bgm/0ba4d164-ca66-4cbf-aed7-b3681a9ace5a.mp3
27110970-398d-4dc3-8f33-7069ce19af95,Coral (Summer Guitar).mp3,medeo/resource/music/pixabay-bgm/Coral (Summer Guitar).mp3,Coral (Summer Guitar),medeo/resource/music/pixabay-bgm/27110970-398d-4dc3-8f33-7069ce19af95.mp3
2bc07093-c5b6-476b-a3f2-a685ba2303de,new year 2019 star wars space disco music.mp3,medeo/resource/music/pixabay-bgm/new year 2019 star wars space disco music.mp3,new year 2019 star wars space disco music,medeo/resource/music/pixabay-bgm/2bc07093-c5b6-476b-a3f2-a685ba2303de.mp3
3b2be233-2ca4-47ac-90e5-7f65859209d2,Say you be mine TheBassPapa.mp3,medeo/resource/music/pixabay-bgm/Say you be mine TheBassPapa.mp3,Say you be mine TheBassPapa,medeo/resource/music/pixabay-bgm/3b2be233-2ca4-47ac-90e5-7f65859209d2.mp3
af57b758-3b6f-4093-ae9a-d7a9b0d55f39,Centyś - Beat HIP HOP HP10.mp3,medeo/resource/music/pixabay-bgm/Centyś - Beat HIP HOP HP10.mp3,Centyś - Beat HIP HOP HP10,medeo/resource/music/pixabay-bgm/af57b758-3b6f-4093-ae9a-d7a9b0d55f39.mp3
ed95ee29-0fd7-4b47-859a-0a337eab3c3b,Santo é o Senhor.mp3,medeo/resource/music/pixabay-bgm/Santo é o Senhor.mp3,Santo é o Senhor,medeo/resource/music/pixabay-bgm/ed95ee29-0fd7-4b47-859a-0a337eab3c3b.mp3
f43f3c54-0729-4678-aaef-a15cdd264588,Street.mp3,medeo/resource/music/pixabay-bgm/Street.mp3,Street,medeo/resource/music/pixabay-bgm/f43f3c54-0729-4678-aaef-a15cdd264588.mp3
